['information', 'case', 'man', 'fact', 'school']
['group', 'year', 'man', 'life', 'part']
['system', 'world', 'work', 'man', 'course']
['company', 'system', 'man', 'world', 'information']
['year', 'group', 'course', 'school', 'way']
['party', 'house', 'system', 'work', 'information']
['group', 'end', 'case', 'part', 'year']
['company', 'case', 'day', 'life', 'system']
['part', 'work', 'end', 'government', 'case']
['course', 'place', 'year', 'world', 'life']
['company', 'course', 'place', 'system', 'day']
['year', 'case', 'house', 'information', 'government']
['course', 'group', 'company', 'information', 'case']
['man', 'day', 'system', 'information', 'work']
['life', 'information', 'party', 'year', 'man']
['life', 'work', 'information', 'place', 'end']
['place', 'school', 'fact', 'year', 'information']
['way', 'end', 'information', 'part', 'course']
['case', 'group', 'system', 'world', 'year']
['year', 'system', 'government', 'group', 'school']
['case', 'information', 'end', 'system', 'man']
['life', 'end', 'place', 'way', 'man']
['fact', 'part', 'case', 'man', 'year']
['school', 'government', 'life', 'end', 'party']
['man', 'information', 'world', 'way', 'fact']
['course', 'group', 'house', 'school', 'man']
['way', 'life', 'party', 'government', 'fact']
['day', 'year', 'world', 'case', 'group']
['system', 'end', 'year', 'work', 'place']
['end', 'government', 'group', 'school', 'year']
['part', 'place', 'fact', 'case', 'party']
['life', 'house', 'end', 'case', 'part']
['case', 'company', 'day', 'end', 'group']
['way', 'course', 'system', 'group', 'world']
['end', 'man', 'day', 'information', 'course']
['man', 'year', 'information', 'place', 'government']
['house', 'day', 'world', 'fact', 'part']
['end', 'case', 'man', 'place', 'way']
['case', 'government', 'part', 'course', 'place']
['course', 'group', 'world', 'part', 'government']
['government', 'group', 'course', 'man', 'world']
['group', 'life', 'government', 'information', 'man']
['fact', 'system', 'information', 'way', 'part']
['place', 'company', 'world', 'fact', 'way']
['party', 'way', 'life', 'work', 'day']
['man', 'life', 'day', 'school', 'work']
['end', 'information', 'life', 'work', 'day']
['case', 'school', 'information', 'place', 'fact']
['year', 'party', 'house', 'group', 'government']
['house', 'school', 'case', 'way', 'party']
['world', 'group', 'work', 'end', 'year']
['part', 'way', 'course', 'case', 'party']
['government', 'man', 'school', 'year', 'place']
['man', 'system', 'case', 'world', 'company']
['year', 'government', 'information', 'part', 'house']
['school', 'part', 'system', 'way', 'day']
['case', 'year', 'part', 'course', 'house']
['way', 'end', 'company', 'case', 'information']
['place', 'man', 'information', 'group', 'life']
['end', 'case', 'place', 'information', 'system']
['life', 'government', 'work', 'house', 'system']
['way', 'information', 'school', 'case', 'day']
['information', 'company', 'way', 'world', 'life']
['school', 'case', 'world', 'fact', 'company']
['fact', 'year', 'end', 'world', 'case']
['house', 'government', 'way', 'end', 'man']
['group', 'government', 'course', 'school', 'system']
['part', 'information', 'case', 'man', 'day']
['place', 'course', 'end', 'part', 'system']
['school', 'world', 'house', 'fact', 'work']
['year', 'information', 'company', 'group', 'party']
['case', 'company', 'information', 'group', 'party']
['system', 'part', 'government', 'world', 'fact']
['information', 'life', 'year', 'government', 'place']
['group', 'house', 'way', 'case', 'system']
['man', 'year', 'company', 'party', 'work']
['way', 'government', 'information', 'school', 'work']
['case', 'group', 'part', 'system', 'way']
['work', 'company', 'end', 'system', 'group']
['house', 'fact', 'end', 'system', 'company']
['house', 'world', 'party', 'man', 'place']
['way', 'group', 'work', 'system', 'day']
['man', 'government', 'day', 'part', 'group']
['course', 'year', 'world', 'group', 'system']
['world', 'party', 'group', 'house', 'school']
['life', 'government', 'world', 'system', 'case']
['man', 'house', 'end', 'school', 'party']
['part', 'man', 'house', 'information', 'life']
['world', 'life', 'government', 'way', 'fact']
['world', 'end', 'man', 'information', 'party']
['part', 'house', 'end', 'case', 'life']
['group', 'house', 'information', 'work', 'party']
['man', 'case', 'company', 'world', 'year']
['group', 'fact', 'life', 'place', 'day']
['fact', 'course', 'case', 'group', 'school']
['year', 'house', 'course', 'fact', 'place']
['government', 'group', 'way', 'man', 'school']
['information', 'day', 'world', 'way', 'system']
