['system', 'government', 'end', 'group', 'case', 'life', 'day', 'work']
['government', 'course', 'life', 'world', 'year', 'group', 'system', 'place']
['course', 'place', 'system', 'group', 'day', 'world', 'man', 'case']
['day', 'fact', 'part', 'house', 'company', 'life', 'case', 'group']
['work', 'part', 'system', 'way', 'course', 'life', 'house', 'man']
['information', 'party', 'fact', 'life', 'case', 'part', 'day', 'year']
['information', 'party', 'course', 'government', 'work', 'end', 'world', 'school']
['world', 'fact', 'house', 'case', 'way', 'information', 'course', 'end']
['government', 'year', 'company', 'day', 'fact', 'part', 'work', 'case']
['party', 'day', 'world', 'fact', 'house', 'group', 'year', 'man']
['way', 'part', 'house', 'end', 'year', 'system', 'life', 'case']
['part', 'course', 'end', 'way', 'life', 'fact', 'house', 'company']
['group', 'world', 'party', 'system', 'place', 'government', 'case', 'day']
['system', 'school', 'group', 'company', 'party', 'course', 'day', 'life']
['party', 'year', 'company', 'school', 'man', 'case', 'work', 'information']
['life', 'information', 'case', 'year', 'school', 'group', 'company', 'world']
['part', 'world', 'school', 'party', 'system', 'group', 'fact', 'company']
['way', 'man', 'information', 'end', 'house', 'work', 'life', 'party']
['end', 'world', 'way', 'work', 'case', 'house', 'year', 'day']
['place', 'company', 'house', 'work', 'information', 'course', 'party', 'school']
['house', 'company', 'year', 'group', 'end', 'place', 'information', 'part']
['part', 'house', 'system', 'company', 'course', 'party', 'place', 'day']
['group', 'information', 'system', 'way', 'part', 'company', 'world', 'party']
['group', 'system', 'place', 'house', 'information', 'course', 'way', 'company']
['system', 'group', 'work', 'school', 'company', 'world', 'fact', 'party']
['day', 'part', 'year', 'system', 'company', 'way', 'work', 'case']
['government', 'case', 'world', 'work', 'man', 'day', 'fact', 'group']
['day', 'place', 'year', 'house', 'party', 'school', 'group', 'world']
['end', 'man', 'system', 'place', 'government', 'company', 'party', 'case']
['end', 'part', 'way', 'work', 'party', 'government', 'fact', 'year']
['government', 'house', 'case', 'company', 'work', 'end', 'place', 'part']
['course', 'fact', 'work', 'system', 'case', 'party', 'information', 'school']
['fact', 'party', 'school', 'way', 'year', 'place', 'man', 'system']
['part', 'group', 'way', 'information', 'system', 'case', 'day', 'life']
['company', 'man', 'school', 'government', 'day', 'group', 'information', 'place']
['day', 'course', 'life', 'fact', 'year', 'place', 'system', 'end']
['fact', 'system', 'group', 'party', 'man', 'part', 'case', 'work']
['case', 'way', 'day', 'government', 'group', 'life', 'company', 'part']
['school', 'house', 'information', 'man', 'party', 'fact', 'place', 'day']
['day', 'work', 'fact', 'group', 'end', 'government', 'course', 'school']
['information', 'house', 'man', 'fact', 'school', 'place', 'company', 'course']
['course', 'fact', 'government', 'place', 'part', 'information', 'case', 'end']
['case', 'system', 'life', 'place', 'course', 'world', 'part', 'way']
['government', 'world', 'way', 'case', 'group', 'part', 'system', 'course']
['way', 'life', 'course', 'company', 'place', 'party', 'man', 'house']
['day', 'man', 'world', 'way', 'case', 'place', 'part', 'life']
['way', 'school', 'year', 'system', 'party', 'end', 'information', 'day']
['world', 'man', 'information', 'group', 'way', 'day', 'house', 'party']
['day', 'way', 'work', 'school', 'information', 'government', 'man', 'world']
['school', 'course', 'work', 'life', 'way', 'place', 'end', 'world']
['day', 'party', 'information', 'government', 'part', 'way', 'course', 'world']
['house', 'man', 'case', 'party', 'day', 'part', 'information', 'government']
['party', 'world', 'work', 'fact', 'system', 'man', 'course', 'part']
['system', 'school', 'case', 'work', 'year', 'day', 'end', 'part']
['house', 'school', 'information', 'fact', 'company', 'end', 'part', 'life']
['world', 'life', 'way', 'work', 'house', 'part', 'man', 'government']
['house', 'part', 'fact', 'way', 'place', 'world', 'group', 'life']
['information', 'school', 'day', 'world', 'party', 'way', 'group', 'end']
['case', 'information', 'school', 'fact', 'year', 'group', 'end', 'place']
['government', 'group', 'system', 'course', 'case', 'information', 'life', 'place']
['place', 'day', 'party', 'course', 'school', 'world', 'system', 'case']
['school', 'end', 'world', 'place', 'group', 'course', 'year', 'day']
['man', 'way', 'world', 'life', 'school', 'year', 'system', 'party']
['course', 'system', 'day', 'school', 'part', 'life', 'party', 'place']
['system', 'year', 'case', 'man', 'day', 'end', 'way', 'group']
