['day', 'group', 'case', 'party', 'part', 'fact', 'school', 'work']
['school', 'world', 'year', 'place', 'part', 'man', 'life', 'party']
['company', 'house', 'group', 'year', 'man', 'day', 'information', 'system']
['group', 'end', 'party', 'place', 'life', 'case', 'government', 'man']
['course', 'school', 'end', 'year', 'system', 'life', 'party', 'house']
['year', 'place', 'work', 'life', 'course', 'school', 'end', 'house']
['course', 'man', 'group', 'day', 'end', 'work', 'world', 'school']
['world', 'information', 'fact', 'group', 'government', 'life', 'end', 'school']
['system', 'fact', 'way', 'part', 'work', 'course', 'case', 'group']
['course', 'work', 'part', 'party', 'house', 'life', 'system', 'fact']
['end', 'case', 'part', 'man', 'world', 'group', 'school', 'party']
['course', 'system', 'life', 'place', 'world', 'year', 'work', 'man']
['government', 'year', 'school', 'life', 'fact', 'case', 'house', 'man']
['man', 'house', 'part', 'world', 'fact', 'life', 'place', 'day']
['world', 'case', 'school', 'life', 'government', 'party', 'man', 'system']
['house', 'course', 'man', 'world', 'information', 'year', 'place', 'end']
['system', 'fact', 'place', 'work', 'case', 'year', 'way', 'information']
['way', 'group', 'case', 'fact', 'day', 'information', 'work', 'system']
['fact', 'world', 'group', 'case', 'government', 'man', 'company', 'school']
['life', 'place', 'fact', 'case', 'man', 'end', 'day', 'course']
['information', 'way', 'house', 'work', 'group', 'course', 'school', 'end']
['information', 'course', 'house', 'year', 'work', 'fact', 'world', 'way']
['company', 'house', 'work', 'part', 'place', 'course', 'case', 'school']
['system', 'man', 'group', 'part', 'party', 'place', 'day', 'company']
['government', 'work', 'house', 'case', 'place', 'company', 'party', 'man']
['end', 'place', 'house', 'year', 'party', 'government', 'part', 'system']
['place', 'house', 'course', 'day', 'man', 'case', 'life', 'company']
['place', 'part', 'school', 'group', 'way', 'work', 'year', 'information']
['life', 'fact', 'man', 'year', 'company', 'system', 'government', 'part']
['company', 'day', 'way', 'group', 'information', 'part', 'place', 'case']
['life', 'year', 'information', 'government', 'part', 'day', 'fact', 'company']
['information', 'house', 'man', 'school', 'fact', 'case', 'end', 'party']
['case', 'world', 'fact', 'information', 'course', 'party', 'part', 'work']
['school', 'end', 'work', 'part', 'way', 'house', 'government', 'place']
['life', 'year', 'end', 'company', 'school', 'fact', 'way', 'group']
['house', 'group', 'system', 'information', 'school', 'party', 'government', 'company']
['year', 'day', 'information', 'end', 'place', 'government', 'life', 'company']
['year', 'way', 'government', 'house', 'part', 'world', 'system', 'place']
['world', 'school', 'year', 'work', 'system', 'company', 'day', 'case']
['work', 'system', 'school', 'fact', 'way', 'man', 'part', 'group']
['fact', 'school', 'information', 'end', 'world', 'part', 'year', 'way']
['day', 'party', 'government', 'house', 'school', 'information', 'system', 'life']
['place', 'life', 'company', 'work', 'case', 'house', 'fact', 'man']
['man', 'group', 'way', 'system', 'part', 'course', 'party', 'place']
['company', 'end', 'place', 'government', 'system', 'work', 'man', 'school']
['place', 'way', 'end', 'year', 'information', 'work', 'world', 'course']
['course', 'group', 'part', 'school', 'end', 'life', 'year', 'house']
['part', 'place', 'case', 'work', 'system', 'end', 'day', 'school']
['world', 'case', 'year', 'day', 'system', 'group', 'course', 'part']
['work', 'day', 'information', 'man', 'end', 'case', 'group', 'course']
['course', 'place', 'man', 'information', 'system', 'part', 'way', 'fact']
['information', 'day', 'course', 'man', 'group', 'house', 'year', 'life']
['place', 'case', 'day', 'company', 'part', 'end', 'man', 'work']
['year', 'fact', 'man', 'system', 'place', 'case', 'party', 'life']
['part', 'government', 'way', 'school', 'company', 'case', 'work', 'house']
['work', 'world', 'company', 'group', 'information', 'part', 'end', 'school']
['information', 'course', 'man', 'fact', 'year', 'government', 'school', 'work']
['world', 'man', 'course', 'part', 'fact', 'life', 'work', 'information']
['end', 'fact', 'course', 'part', 'man', 'place', 'system', 'group']
['life', 'year', 'place', 'way', 'information', 'group', 'company', 'world']
['year', 'man', 'course', 'case', 'life', 'place', 'way', 'house']
['work', 'way', 'end', 'man', 'company', 'course', 'world', 'house']
['group', 'information', 'world', 'house', 'life', 'course', 'way', 'system']
['company', 'work', 'group', 'school', 'life', 'part', 'party', 'information']
['system', 'fact', 'end', 'man', 'world', 'day', 'life', 'case']
['information', 'house', 'group', 'day', 'year', 'life', 'government', 'course']
['way', 'company', 'house', 'world', 'course', 'school', 'place', 'man']
['year', 'group', 'end', 'party', 'government', 'life', 'information', 'case']
['man', 'life', 'day', 'year', 'end', 'part', 'group', 'case']
['company', 'work', 'information', 'school', 'house', 'end', 'party', 'government']
['system', 'group', 'year', 'world', 'part', 'way', 'party', 'life']
['case', 'party', 'government', 'school', 'world', 'company', 'day', 'house']
['company', 'house', 'case', 'part', 'day', 'group', 'fact', 'information']
['part', 'day', 'man', 'information', 'group', 'system', 'way', 'house']
['fact', 'work', 'group', 'course', 'world', 'school', 'government', 'part']
['day', 'course', 'life', 'company', 'way', 'system', 'party', 'group']
['government', 'life', 'way', 'information', 'course', 'end', 'system', 'day']
['government', 'world', 'work', 'house', 'man', 'part', 'fact', 'end']
['place', 'year', 'company', 'part', 'work', 'school', 'life', 'course']
['government', 'work', 'school', 'place', 'case', 'man', 'day', 'year']
['fact', 'system', 'case', 'company', 'life', 'information', 'house', 'end']
['end', 'year', 'party', 'system', 'information', 'world', 'course', 'man']
['group', 'school', 'system', 'man', 'government', 'course', 'work', 'part']
['information', 'fact', 'world', 'way', 'party', 'part', 'company', 'government']
