['group', 'case', 'day', 'company']
['company', 'group', 'part', 'place']
['group', 'information', 'system', 'world']
['information', 'house', 'party', 'school']
['course', 'year', 'man', 'part']
['house', 'year', 'work', 'group']
['course', 'school', 'case', 'world']
['system', 'house', 'group', 'end']
['work', 'part', 'place', 'day']
['world', 'way', 'end', 'school']
['life', 'house', 'year', 'work']
['fact', 'course', 'system', 'information']
['group', 'year', 'life', 'party']
['way', 'information', 'part', 'day']
['fact', 'group', 'way', 'party']
['school', 'group', 'way', 'end']
['course', 'man', 'world', 'day']
['fact', 'party', 'course', 'case']
['government', 'end', 'fact', 'course']
['case', 'man', 'place', 'system']
['part', 'group', 'house', 'day']
['world', 'system', 'company', 'fact']
['case', 'year', 'place', 'course']
['life', 'work', 'man', 'end']
['life', 'end', 'information', 'group']
['company', 'day', 'group', 'year']
['company', 'information', 'work', 'course']
['end', 'group', 'place', 'school']
['end', 'fact', 'part', 'information']
['day', 'way', 'government', 'life']
['case', 'work', 'company', 'day']
['case', 'house', 'life', 'company']
['year', 'part', 'place', 'group']
['party', 'end', 'life', 'government']
['system', 'fact', 'company', 'house']
['day', 'place', 'house', 'school']
['year', 'system', 'information', 'man']
['course', 'work', 'fact', 'government']
['end', 'government', 'fact', 'day']
['world', 'work', 'day', 'course']
['system', 'group', 'company', 'work']
['government', 'company', 'group', 'end']
['party', 'man', 'year', 'company']
['party', 'man', 'way', 'house']
['world', 'company', 'way', 'work']
['government', 'work', 'place', 'system']
['year', 'way', 'system', 'world']
['house', 'place', 'group', 'year']
['group', 'end', 'world', 'case']
['information', 'work', 'end', 'part']
['part', 'house', 'school', 'way']
['life', 'fact', 'way', 'school']
['way', 'end', 'world', 'group']
['year', 'case', 'group', 'school']
['information', 'company', 'part', 'day']
['year', 'government', 'day', 'fact']
['way', 'world', 'end', 'fact']
['system', 'house', 'course', 'fact']
['place', 'man', 'group', 'school']
['house', 'party', 'government', 'place']
['end', 'man', 'way', 'world']
['fact', 'life', 'house', 'way']
['case', 'course', 'work', 'information']
['world', 'year', 'way', 'house']
['work', 'school', 'party', 'case']
['course', 'case', 'party', 'fact']
['house', 'way', 'party', 'information']
['fact', 'part', 'information', 'government']
['house', 'fact', 'end', 'company']
['year', 'part', 'information', 'work']
['company', 'place', 'course', 'school']
['party', 'place', 'day', 'company']
['day', 'end', 'group', 'information']
['house', 'way', 'government', 'course']
['house', 'year', 'way', 'day']
['system', 'place', 'end', 'government']
['end', 'system', 'life', 'year']
['company', 'man', 'place', 'end']
['house', 'party', 'fact', 'man']
['system', 'case', 'part', 'school']
['course', 'man', 'end', 'system']
['party', 'system', 'house', 'world']
['case', 'work', 'house', 'way']
['part', 'system', 'course', 'company']
['company', 'place', 'end', 'part']
['case', 'company', 'party', 'group']
['way', 'group', 'year', 'day']
['information', 'company', 'house', 'government']
['end', 'place', 'course', 'school']
['part', 'year', 'company', 'place']
['end', 'case', 'world', 'party']
['end', 'government', 'fact', 'day']
['information', 'world', 'company', 'day']
['course', 'fact', 'school', 'work']
['part', 'group', 'government', 'work']
['case', 'man', 'end', 'company']
['place', 'world', 'information', 'government']
['house', 'fact', 'place', 'group']
['world', 'year', 'case', 'way']
['place', 'day', 'end', 'case']
