['way', 'information', 'day', 'government']
['year', 'world', 'group', 'life']
['house', 'way', 'party', 'case']
['life', 'way', 'system', 'day']
['day', 'way', 'work', 'fact']
['course', 'place', 'government', 'part']
['world', 'life', 'year', 'part']
['work', 'school', 'man', 'group']
['work', 'course', 'day', 'group']
['world', 'course', 'case', 'work']
['end', 'house', 'world', 'part']
['government', 'year', 'company', 'group']
['work', 'company', 'day', 'man']
['group', 'system', 'day', 'house']
['part', 'work', 'place', 'group']
['party', 'fact', 'end', 'year']
['man', 'party', 'work', 'course']
['government', 'world', 'part', 'way']
['company', 'course', 'work', 'school']
['man', 'year', 'group', 'case']
['group', 'course', 'information', 'day']
['fact', 'case', 'house', 'day']
['work', 'group', 'part', 'government']
['life', 'work', 'school', 'year']
['work', 'company', 'fact', 'system']
['part', 'house', 'life', 'school']
['group', 'fact', 'work', 'house']
['system', 'company', 'place', 'way']
['house', 'part', 'end', 'course']
['course', 'government', 'group', 'life']
['system', 'group', 'course', 'school']
['fact', 'group', 'world', 'end']
['fact', 'course', 'world', 'place']
['end', 'course', 'life', 'fact']
['work', 'place', 'system', 'fact']
['year', 'fact', 'information', 'way']
['party', 'work', 'day', 'house']
['day', 'year', 'party', 'fact']
['company', 'world', 'year', 'fact']
['world', 'group', 'man', 'year']
['school', 'year', 'end', 'party']
['place', 'life', 'part', 'case']
['life', 'case', 'school', 'group']
['end', 'school', 'year', 'party']
['group', 'life', 'course', 'year']
['house', 'system', 'information', 'day']
['party', 'system', 'year', 'company']
['government', 'system', 'life', 'way']
['house', 'government', 'part', 'man']
['case', 'company', 'way', 'system']
['system', 'part', 'house', 'world']
['government', 'end', 'system', 'course']
['fact', 'system', 'place', 'government']
['school', 'place', 'fact', 'information']
['way', 'life', 'fact', 'course']
['day', 'fact', 'house', 'world']
['life', 'party', 'information', 'system']
['group', 'company', 'information', 'government']
['world', 'end', 'work', 'life']
['year', 'course', 'work', 'life']
['way', 'system', 'information', 'school']
['case', 'end', 'world', 'party']
['house', 'part', 'place', 'party']
['course', 'day', 'school', 'year']
['man', 'case', 'place', 'house']
['school', 'world', 'house', 'party']
['year', 'end', 'work', 'system']
['day', 'course', 'world', 'school']
['case', 'way', 'group', 'party']
['day', 'work', 'party', 'government']
['party', 'way', 'work', 'case']
['information', 'world', 'part', 'way']
['house', 'information', 'part', 'place']
['life', 'house', 'case', 'world']
['place', 'fact', 'course', 'government']
['world', 'company', 'man', 'party']
['course', 'school', 'work', 'system']
['life', 'way', 'year', 'school']
['day', 'party', 'company', 'group']
['house', 'party', 'case', 'company']
['house', 'place', 'world', 'work']
['work', 'way', 'school', 'part']
['way', 'world', 'fact', 'government']
['case', 'information', 'man', 'way']
['information', 'day', 'place', 'end']
['case', 'work', 'end', 'fact']
['company', 'end', 'year', 'course']
['house', 'end', 'government', 'course']
['government', 'year', 'day', 'life']
['party', 'information', 'man', 'work']
['information', 'group', 'government', 'company']
['end', 'group', 'work', 'company']
['world', 'case', 'day', 'group']
['fact', 'part', 'day', 'system']
['fact', 'group', 'case', 'end']
['system', 'way', 'company', 'work']
['place', 'government', 'day', 'school']
['company', 'case', 'part', 'way']
['way', 'part', 'year', 'government']
['government', 'course', 'party', 'part']
