['case', 'way', 'group']
['group', 'information', 'company']
['case', 'group', 'world']
['information', 'school', 'work']
['course', 'part', 'party']
['group', 'house', 'information']
['case', 'course', 'way']
['way', 'end', 'group']
['place', 'group', 'work']
['day', 'school', 'way']
['house', 'work', 'day']
['part', 'fact', 'information']
['life', 'group', 'place']
['day', 'system', 'information']
['group', 'school', 'way']
['school', 'end', 'man']
['man', 'course', 'house']
['course', 'group', 'case']
['part', 'course', 'end']
['case', 'life', 'place']
['company', 'group', 'day']
['fact', 'information', 'world']
['place', 'year', 'system']
['work', 'day', 'man']
['end', 'day', 'information']
['company', 'fact', 'year']
['information', 'course', 'part']
['end', 'party', 'group']
['part', 'information', 'day']
['work', 'way', 'government']
['school', 'company', 'case']
['fact', 'case', 'company']
['part', 'party', 'group']
['life', 'government', 'year']
['house', 'world', 'company']
['house', 'year', 'place']
['world', 'system', 'man']
['school', 'course', 'fact']
['group', 'day', 'government']
['company', 'world', 'work']
['work', 'system', 'government']
['company', 'day', 'end']
['party', 'school', 'man']
['house', 'year', 'party']
['case', 'world', 'work']
['fact', 'place', 'work']
['system', 'life', 'world']
['group', 'place', 'company']
['group', 'end', 'work']
['day', 'part', 'end']
['house', 'way', 'end']
['school', 'way', 'government']
['fact', 'end', 'group']
['group', 'case', 'information']
['information', 'world', 'part']
['fact', 'year', 'world']
['way', 'work', 'end']
['course', 'fact', 'day']
['place', 'group', 'day']
['party', 'information', 'place']
['way', 'end', 'day']
['company', 'fact', 'life']
['information', 'government', 'work']
['year', 'man', 'world']
['party', 'man', 'work']
['case', 'way', 'party']
['place', 'house', 'party']
['fact', 'part', 'way']
['course', 'fact', 'end']
['year', 'part', 'life']
['place', 'school', 'case']
['party', 'place', 'man']
['case', 'day', 'end']
['fact', 'government', 'course']
['day', 'house', 'fact']
['system', 'government', 'world']
['day', 'life', 'system']
['day', 'company', 'man']
['party', 'house', 'system']
['part', 'information', 'school']
['life', 'system', 'course']
['system', 'world', 'work']
['end', 'house', 'case']
['part', 'course', 'group']
['world', 'place', 'part']
['case', 'group', 'system']
['group', 'year', 'fact']
['group', 'house', 'information']
['course', 'system', 'place']
['way', 'place', 'year']
['man', 'case', 'end']
['government', 'system', 'day']
['company', 'government', 'day']
['work', 'fact', 'year']
['year', 'work', 'group']
['fact', 'case', 'man']
['government', 'end', 'world']
['information', 'fact', 'group']
['life', 'case', 'world']
['end', 'man', 'place']
