['information', 'way', 'work']
['group', 'course', 'life']
['party', 'man', 'case']
['group', 'system', 'day']
['way', 'system', 'day']
['course', 'place', 'party']
['course', 'life', 'part']
['work', 'school', 'fact']
['day', 'course', 'end']
['course', 'government', 'world']
['end', 'government', 'world']
['world', 'group', 'year']
['case', 'company', 'man']
['fact', 'system', 'house']
['group', 'course', 'place']
['way', 'party', 'end']
['man', 'party', 'place']
['government', 'part', 'group']
['course', 'year', 'school']
['case', 'government', 'group']
['day', 'life', 'group']
['fact', 'company', 'day']
['work', 'fact', 'group']
['work', 'life', 'government']
['life', 'system', 'company']
['school', 'way', 'life']
['work', 'part', 'house']
['company', 'place', 'life']
['course', 'part', 'man']
['life', 'end', 'course']
['group', 'house', 'system']
['world', 'school', 'fact']
['case', 'world', 'course']
['fact', 'end', 'party']
['day', 'place', 'system']
['information', 'case', 'way']
['end', 'house', 'work']
['fact', 'year', 'course']
['company', 'information', 'fact']
['party', 'man', 'group']
['party', 'place', 'school']
['place', 'case', 'course']
['world', 'school', 'group']
['school', 'work', 'end']
['life', 'year', 'system']
['information', 'government', 'day']
['system', 'party', 'group']
['system', 'government', 'information']
['man', 'party', 'part']
['fact', 'case', 'company']
['house', 'work', 'part']
['system', 'end', 'information']
['government', 'system', 'group']
['place', 'man', 'school']
['house', 'way', 'life']
['part', 'world', 'day']
['information', 'life', 'work']
['government', 'company', 'house']
['work', 'world', 'course']
['system', 'year', 'life']
['information', 'school', 'work']
['case', 'school', 'party']
['part', 'company', 'house']
['year', 'school', 'party']
['man', 'information', 'case']
['house', 'part', 'party']
['system', 'year', 'course']
['world', 'day', 'end']
['information', 'way', 'group']
['party', 'day', 'way']
['house', 'way', 'case']
['course', 'way', 'world']
['fact', 'information', 'place']
['case', 'part', 'world']
['government', 'place', 'man']
['world', 'company', 'case']
['work', 'course', 'world']
['school', 'year', 'government']
['work', 'group', 'party']
['house', 'party', 'school']
['place', 'information', 'house']
['information', 'part', 'work']
['school', 'way', 'world']
['way', 'company', 'man']
['life', 'end', 'place']
['work', 'world', 'end']
['end', 'man', 'company']
['course', 'end', 'place']
['year', 'school', 'government']
['man', 'party', 'year']
['group', 'man', 'information']
['end', 'man', 'group']
['case', 'group', 'party']
['fact', 'world', 'day']
['place', 'fact', 'case']
['company', 'party', 'system']
['school', 'end', 'government']
['way', 'case', 'party']
['government', 'year', 'house']
['party', 'course', 'group']
